page	chars	images	drawings	preview
01	120	0	5	I/O Systems | Computer System III | Wenbo Shen | Acknowledgement: some pages are based on the slides from Yajin Zhou@ZJU
02	445	0	3	2 | Review | • Disk: platter, cylinder, sector, track | • Time: positioning time = seek time + rotational latency | • Disk structure, Disk attachment: host- ,network-, storage area network | • Disk scheduling: FCFS, SSTF
03	42	0	22	3 | Overview | Memory | I/O | System | CPU
04	209	0	3	4 | Outline | • | Overview | • | I/O Hardware | • | Application I/O Interface | • | Kernel I/O Subsystem | • | Transforming I/O Requests to Hardware Operations | • | Performance | • | Example: Linux tty device
05	404	0	3	5 | Overview | • I/O management is a major component of OS design and operation | • Important aspect of computer operation | • I/O device is the way computer to interact with user and other systems | • I/O devices vary g
06	503	0	3	6 | I/O Hardware | • Incredible variety of I/O devices | • Storage, communication, human-interface | • Common concepts: signals from I/O devices interface with computer | • Bus: an interconnection between components (inc
07	30	1	3	7 | A Typical PC Bus Structure
08	628	0	3	8 | I/O Hardware | • Some CPU architecture has dedicated I/O instructions | • x86: in, out, ins, outs | • Devices usually provide registers for data and control I/O of device | • Device driver places (pointers to) comman
09	30	1	3	9 | I/O Ports on PCs (Partial)
10	431	0	3	10 | Polling | • | For each I/O operation: | • | Busy-wait if device is busy (status register) | • | Cannot accept any command if busy | • | Send the command to the device controller (command register) | • | Read status 
11	616	0	3	11 | Interrupts | • Polling requires busy-wait, inefficient use of CPU resource | • Interrupts can avoid busy-wait | • device driver (part of OS) send a command to the controller (on device),  | and return | • OS can sch
12	31	1	3	12 | Interrupt-Driven I/O Cycle
13	41	1	3	13 | Intel Pentium Interrupt Vector Table
14	274	2	5	14 | Linux vector table on ARM64 | • | Define vector table | • | Set the value to VBAR | • | Vector Base Address  | Register | https://elixir.bootlin.com/linux/v4.4/source/arch/arm64/kernel/entry.S | https://elixir.bootl
15	383	2	5	15 | Linux vector table on RISC-V64 | • | Define vector table | • | Set the value of  | handle_exception to stvec | • | Supervisor Trap Vector  | Base Address Register | • | Handle_exception jumps to  | entries of except
16	336	0	3	16 | Interrupts | • Interrupt is also used for exceptions | • protection error for access violation | • page fault for memory access error | • software interrupt for system calls | • Multi-CPU systems can process interru
17	836	0	3	17 | SMP IRQ Affinity | • | Starting with the 2.4 kernel, Linux has gained the ability to assign certain  | IRQs to specific processors (or groups of processors).   | • | This is known as SMP IRQ affinity, and it allows 
