epsilon,i,x_i,exact,Jacobi,Gauss-Seidel,SOR
1,1,0.01,0.0128704656191,0.0128543245276,0.0128543242849,0.0128543281468
1,2,0.02,0.0256626187969,0.0256308834738,0.0256308829908,0.0256308906766
1,3,0.03,0.0383772387551,0.0383304467861,0.038330446078,0.0383304575455
1,4,0.04,0.0510150969622,0.0509537768217,0.0509537758832,0.0509537910867
1,5,0.05,0.0635769572102,0.0635016283408,0.0635016271951,0.0635016460851
1,6,0.06,0.0760635756917,0.0759747486952,0.0759747473295,0.0759747698528
1,7,0.07,0.0884757010746,0.0883738777571,0.0883738762025,0.0883739023027
1,8,0.08,0.100814074578,0.100699748169,0.100699746405,0.100699776022
1,9,0.09,0.113079430044,0.112953085207,0.112953083273,0.112953116344
1,10,0.1,0.125272494016,0.125134607095,0.125134604962,0.125134641421
1,11,0.11,0.137393985806,0.137245024802,0.137245022518,0.137245062295
1,12,0.12,0.149444617568,0.149285042415,0.149285039945,0.149285082967
1,13,0.13,0.161425094372,0.161255356879,0.161255354276,0.16125540047
1,14,0.14,0.173336114272,0.173156658423,0.173156655646,0.173156704932
1,15,0.15,0.185178368374,0.184989630245,0.184989627353,0.184989679653
1,16,0.16,0.196952540911,0.196754948986,0.196754945931,0.196755001162
1,17,0.17,0.208659309304,0.208453284369,0.208453281218,0.208453339294
1,18,0.18,0.220299344237,0.220085299717,0.220085296416,0.220085357251
1,19,0.19,0.231873309719,0.231651651543,0.231651648163,0.231651711667
1,20,0.2,0.243381863151,0.243152990112,0.243152986595,0.243153052677
1,21,0.21,0.254825655395,0.254589958987,0.25458995541,0.254590023977
1,22,0.22,0.266205330834,0.265963195636,0.265963191933,0.265963262891
1,23,0.23,0.277521527442,0.277273330927,0.27727332718,0.277273400432
1,24,0.24,0.288774876844,0.288520989779,0.288520985919,0.288521061368
1,25,0.25,0.299966004379,0.299706790616,0.29970678673,0.299706864276
1,26,0.26,0.311095529167,0.310831346058,0.31083134207,0.310831421614
1,27,0.27,0.322164064163,0.32189526233,0.321895258332,0.321895339773
1,28,0.28,0.333172216228,0.332899139992,0.332899135905,0.332899219141
1,29,0.29,0.344120586181,0.343843573315,0.343843569232,0.34384365416
1,30,0.3,0.355009768863,0.354729151034,0.354729146873,0.35472923339
1,31,0.31,0.365840353199,0.365556455699,0.365556451559,0.365556539559
1,32,0.32,0.376612922252,0.376326064457,0.37632606025,0.37632614963
1,33,0.33,0.387328053282,0.387038548369,0.387038544195,0.38703863485
1,34,0.34,0.397986317809,0.397694473218,0.397694468988,0.397694560812
1,35,0.35,0.408588281663,0.408294398803,0.408294394621,0.408294487508
1,36,0.36,0.419134505045,0.418838879769,0.418838875541,0.418838969388
1,37,0.37,0.429625542583,0.429328464876,0.429328460708,0.429328555408
1,38,0.38,0.440061943384,0.439763697848,0.439763693644,0.439763789092
1,39,0.39,0.450444251094,0.450145116624,0.450145112491,0.450145208583
1,40,0.4,0.460773003947,0.460473254221,0.460473250063,0.460473346694
1,41,0.41,0.471048734823,0.470748637973,0.470748633896,0.470748730963
1,42,0.42,0.4812719713,0.480971790399,0.480971786306,0.480971883705
1,43,0.43,0.491443235705,0.491143228437,0.491143224435,0.491143322065
1,44,0.44,0.50156304517,0.501263464317,0.501263460306,0.501263558065
1,45,0.45,0.51163191168,0.511333004783,0.511333000873,0.51133309866
1,46,0.46,0.521650342125,0.521352351979,0.521352348069,0.521352445785
1,47,0.47,0.531618838353,0.53132200266,0.531321998857,0.531322096403
1,48,0.48,0.541537897217,0.541242449077,0.541242445281,0.54124254256
1,49,0.49,0.551408010628,0.551114178195,0.551114174513,0.551114271429
1,50,0.5,0.561229665601,0.560937672568,0.560937668901,0.560937765359
1,51,0.51,0.571003344305,0.570713409563,0.570713406016,0.570713501924
1,52,0.52,0.580729524113,0.580441862229,0.580441858703,0.580441953968
1,53,0.53,0.590408677645,0.590123498524,0.590123495122,0.590123589655
1,54,0.54,0.600041272822,0.599758782177,0.599758778802,0.599758872514
1,55,0.55,0.609627772907,0.609348171924,0.609348168678,0.609348261482
1,56,0.56,0.619168636554,0.618892122359,0.618892119144,0.618892210956
1,57,0.57,0.628664317852,0.628391083177,0.628391080094,0.628391170831
1,58,0.58,0.638115266374,0.637845500015,0.637845496967,0.637845586549
1,59,0.59,0.647521927219,0.647255813707,0.647255810793,0.64725589914
1,60,0.6,0.656884741055,0.656622461108,0.656622458234,0.65662254527
1,61,0.61,0.666204144168,0.665945874369,0.665945871629,0.665945957279
1,62,0.62,0.675480568502,0.675226481733,0.675226479036,0.675226563228
1,63,0.63,0.684714441703,0.684464706839,0.684464704277,0.68446478694
1,64,0.64,0.693906187162,0.693660969489,0.693660966973,0.69366104804
1,65,0.65,0.703056224057,0.702815684977,0.702815682595,0.702815762
1,66,0.66,0.712164967395,0.711929264831,0.711929262498,0.711929340177
1,67,0.67,0.721232828053,0.721002116165,0.721002113964,0.721002189858
1,68,0.68,0.730260212821,0.730034642393,0.730034640243,0.730034714293
1,69,0.69,0.739247524442,0.739027242613,0.739027240593,0.739027312743
1,70,0.7,0.748195161649,0.747980312286,0.747980310317,0.747980380515
1,71,0.71,0.757103519209,0.756894242649,0.756894240807,0.756894309002
1,72,0.72,0.765972987962,0.765769421366,0.765769419577,0.765769485721
1,73,0.73,0.774803954858,0.774606231972,0.774606230305,0.774606294353
1,74,0.74,0.783596802996,0.783405054485,0.783405052872,0.78340511478
1,75,0.75,0.792351911664,0.792166264889,0.792166263394,0.792166323123
1,76,0.76,0.801069656377,0.800890235708,0.800890234267,0.800890291779
1,77,0.77,0.809750408912,0.809577335525,0.809577334197,0.809577389458
1,78,0.78,0.818394537348,0.818227929516,0.818227928241,0.818227981219
1,79,0.79,0.827002406099,0.826842379008,0.826842377841,0.826842428507
1,80,0.8,0.835574375957,0.835421041975,0.83542104086,0.835421089188
1,81,0.81,0.844110804121,0.843964272632,0.843964271619,0.843964317584
1,82,0.82,0.852612044236,0.852472421892,0.852472420929,0.852472464512
1,83,0.83,0.861078446431,0.860945836997,0.86094583613,0.86094587731
1,84,0.84,0.869510357347,0.869384861938,0.869384861121,0.869384899883
1,85,0.85,0.877908120179,0.877789837124,0.877789836396,0.877789872728
1,86,0.86,0.886272074706,0.886161099759,0.886161099079,0.88616113297
1,87,0.87,0.894602557326,0.894498983554,0.894498982955,0.894499014398
1,88,0.88,0.902899901091,0.902803819059,0.902803818506,0.902803847494
1,89,0.89,0.911164435737,0.911075933418,0.91107593294,0.911075959471
1,90,0.9,0.91939648772,0.91931565066,0.919315650225,0.919315674299
1,91,0.91,0.927596380249,0.927523291492,0.927523291123,0.927523312742
1,92,0.92,0.935764433315,0.935699173548,0.935699173221,0.935699192389
1,93,0.93,0.943900963726,0.943843611226,0.943843610958,0.943843627681
1,94,0.94,0.952006285139,0.951956915892,0.951956915662,0.951956929951
1,95,0.95,0.960080708087,0.960039395758,0.96003939558,0.960039407444
1,96,0.96,0.968124540015,0.968091356046,0.968091355904,0.968091365357
1,97,0.97,0.97613808531,0.976113098905,0.976113098806,0.976113105863
1,98,0.98,0.984121645328,0.984104923532,0.984104923466,0.984104928145
1,99,0.99,0.992075518428,0.992067126133,0.992067126103,0.992067128433
0.1,1,0.01,0.0525834512674,0.0504578404197,0.0504578399917,0.0504578439638
0.1,2,0.02,0.100638738453,0.0967831498902,0.0967831491008,0.0967831566791
0.1,3,0.03,0.144596773344,0.139351613093,0.139351611964,0.139351622803
0.1,4,0.04,0.184847461045,0.178504761454,0.178504760068,0.178504773842
0.1,5,0.05,0.221743602289,0.214553078232,0.214553076581,0.214553092984
0.1,6,0.06,0.255604424378,0.24777882075,0.247778818929,0.247778837673
0.1,7,0.07,0.286718776119,0.278438586793,0.27843858477,0.278438605585
0.1,8,0.08,0.315348018722,0.306765646822,0.306765644701,0.306765667335
0.1,9,0.09,0.341728641589,0.332972065172,0.332972062901,0.332972087118
0.1,10,0.1,0.36607462918,0.357250627297,0.357250624986,0.357250650566
0.1,11,0.11,0.388579602641,0.379776593026,0.379776590608,0.379776617344
0.1,12,0.12,0.409418757631,0.400709289129,0.400709286719,0.400709314422
0.1,13,0.13,0.428750617735,0.420193558489,0.420193556006,0.420193584498
0.1,14,0.14,0.446718621028,0.438361076074,0.438361073636,0.438361102753
0.1,15,0.15,0.463452555645,0.455331546789,0.455331544307,0.455331573898
0.1,16,0.16,0.479069858746,0.471213792879,0.47121379047,0.471213820396
0.1,17,0.17,0.493676791871,0.486106744058,0.486106741627,0.486106771759
0.1,18,0.18,0.507369504435,0.500100336024,0.500100333688,0.500100363908
0.1,19,0.19,0.520234996028,0.513276328911,0.513276326571,0.513276356771
0.1,20,0.2,0.532351987132,0.525709049702,0.525709047472,0.525709077555
0.1,21,0.21,0.543791706986,0.537466068792,0.537466066571,0.537466096447
0.1,22,0.22,0.554618606472,0.548608813406,0.548608811305,0.548608840893
0.1,23,0.23,0.564891003159,0.559193126877,0.559193124795,0.559193154022
0.1,24,0.24,0.574661664963,0.569269775474,0.569269773517,0.569269802318
0.1,25,0.25,0.583978338272,0.578884910744,0.578884908813,0.578884937129
0.1,26,0.26,0.592884225804,0.588080488248,0.588080486446,0.588080514224
0.1,27,0.27,0.601418418994,0.596894649792,0.59689464802,0.596894675216
0.1,28,0.28,0.609616289234,0.605362069364,0.60536206772,0.60536209437
0.1,29,0.29,0.617509841885,0.613514269145,0.613514267533,0.613514293559
0.1,30,0.3,0.625128036596,0.621379905296,0.62137990381,0.621379929186
0.1,31,0.31,0.632497077137,0.628985029233,0.62898502778,0.628985052484
0.1,32,0.32,0.639640673664,0.636353323707,0.636353322377,0.636353346391
0.1,33,0.33,0.64658028001,0.643506318839,0.643506317541,0.643506340852
0.1,34,0.34,0.653335308409,0.650463587128,0.650463585946,0.650463608545
0.1,35,0.35,0.659923323774,0.657242922082,0.657242920932,0.657242942812
0.1,36,0.36,0.666360219496,0.663860499301,0.663860498261,0.663860519418
0.1,37,0.37,0.672660376512,0.670331024182,0.670331023173,0.670331043605
0.1,38,0.38,0.678836807229,0.676667864973,0.676667864067,0.676667883776
0.1,39,0.39,0.684901285761,0.68288317491,0.682883174032,0.682883193022
0.1,40,0.4,0.690864465768,0.688988002116,0.688988001333,0.68898801961
0.1,41,0.41,0.696735987078,0.694992390604,0.694992389846,0.694992407417
0.1,42,0.42,0.702524572171,0.700905471038,0.700905470368,0.700905487242
0.1,43,0.43,0.70823811347,0.70673554427,0.706735543623,0.70673555981
0.1,44,0.44,0.713883752336,0.71249015629,0.712490155723,0.712490171235
0.1,45,0.45,0.719467950541,0.718176167319,0.718176166772,0.718176181622
0.1,46,0.46,0.724996554937,0.723799813701,0.723799813227,0.723799827428
0.1,47,0.47,0.730474855973,0.72936676505,0.729366764594,0.729366778161
0.1,48,0.48,0.735907640648,0.734882175361,0.73488217497,0.734882187919
0.1,49,0.49,0.741299240415,0.740350730273,0.740350729897,0.740350742244
0.1,50,0.5,0.746653574538,0.745776689278,0.745776688961,0.745776700721
0.1,51,0.51,0.751974189311,0.751163924815,0.751163924509,0.7511639357
0.1,52,0.52,0.757264293554,0.756515957115,0.756515956861,0.756515967499
0.1,53,0.53,0.762526790728,0.761835986549,0.761835986305,0.761835996408
0.1,54,0.54,0.767764307993,0.767126922392,0.767126922195,0.767126931779
0.1,55,0.55,0.772979222502,0.772391409586,0.772391409397,0.772391418481
0.1,56,0.56,0.778173685192,0.777631852485,0.777631852336,0.777631860936
0.1,57,0.57,0.78334964231,0.782850436996,0.782850436852,0.782850444987
0.1,58,0.58,0.788508854894,0.788049150183,0.788049150074,0.78804915776
0.1,59,0.59,0.793652916398,0.793229798586,0.793229798481,0.793229805736
0.1,60,0.6,0.798783268637,0.798394024404,0.798394024329,0.798394031168
0.1,61,0.61,0.80390121622,0.803543320647,0.803543320574,0.803543327016
0.1,62,0.62,0.809007939607,0.808679044501,0.808679044454,0.808679050514
0.1,63,0.63,0.814104506921,0.813802429863,0.813802429818,0.813802435512
0.1,64,0.64,0.81919188464,0.818914598372,0.818914598347,0.818914603692
0.1,65,0.65,0.824270947269,0.824016569779,0.824016569755,0.824016574765
0.1,66,0.66,0.829342486095,0.829109271055,0.829109271049,0.82910927574
0.1,67,0.67,0.834407217101,0.834193544974,0.834193544968,0.834193549354
0.1,68,0.68,0.839465788138,0.839270157626,0.839270157634,0.83927016173
0.1,69,0.69,0.844518785403,0.844339805519,0.844339805525,0.844339809345
0.1,70,0.7,0.849566739312,0.849403121783,0.849403121802,0.849403125358
0.1,71,0.71,0.854610129803,0.854460682047,0.854460682064,0.85446068537
0.1,72,0.72,0.859649391143,0.859513009558,0.859513009584,0.859513012654
0.1,73,0.73,0.864684916273,0.864560580044,0.864560580067,0.864560582912
0.1,74,0.74,0.869717060739,0.869603825938,0.869603825969,0.869603828601
0.1,75,0.75,0.874746146255,0.874643140406,0.874643140434,0.874643142864
0.1,76,0.76,0.879772463918,0.879678880829,0.879678880863,0.879678883103
0.1,77,0.77,0.884796277124,0.884711372139,0.88471137217,0.884711374229
0.1,78,0.78,0.889817824205,0.889740909692,0.889740909727,0.889740911617
0.1,79,0.79,0.894837320809,0.894767762026,0.894767762057,0.894767763787
0.1,80,0.8,0.899854962066,0.899792173238,0.899792173272,0.899792174851
0.1,81,0.81,0.904870924536,0.904814365259,0.90481436529,0.904814366728
0.1,82,0.82,0.909885367976,0.909834539823,0.909834539856,0.909834541161
0.1,83,0.83,0.91489843694,0.914852880345,0.914852880375,0.914852881554
0.1,84,0.84,0.919910262229,0.919869553546,0.919869553577,0.91986955464
0.1,85,0.85,0.924920962192,0.924884711009,0.924884711036,0.92488471199
0.1,86,0.86,0.929930643919,0.929898490521,0.929898490548,0.929898491399
0.1,87,0.87,0.934939404308,0.934911017355,0.934911017379,0.934911018135
0.1,88,0.88,0.939947331036,0.939922405386,0.939922405409,0.939922406076
0.1,89,0.89,0.944954503436,0.944932758146,0.944932758166,0.94493275875
