x,index,eigenvalue,residual,eigenvector
0.9,1,2.870401735770236-0.6428911294724626i,1.1113891775738280e-16,-0.5166981392688468+0.2518448851329848i;0.06564429907631263-0.3793725956058436i;0.1347618914148687-0.03792077773507183i;0.7083542148168417
0.9,2,2.870401735770236+0.6428911294724626i,8.3235979884197555e-17,-0.5166981392688466-0.2518448851329849i;0.06564429907631213+0.3793725956058437i;0.1347618914148686+0.0379207777350718i;0.7083542148168417
0.9,3,6.819518337520948,4.2937729765487834e-17,-0.6101516158898512;0.2176000442139839;0.7097891444467663;-0.2767030842086937
0.9,4,17.43967819093859,3.8616701958990767e-16,0.5596994954329449;0.420277455609191;0.3793832398082317;0.6051212213031212
1.0,1,2.867999246456044-0.6887473552591598i,8.3156968303851933e-17,-0.5022331314084427+0.2644709833620505i;0.06122071605200858-0.4015821054029119i;0.1181798341806019-0.03750973477422444i;0.7052853066749915
1.0,2,2.867999246456043+0.6887473552591598i,1.6460390023466353e-16,-0.5022331314084424-0.2644709833620504i;0.06122071605200814+0.4015821054029118i;0.118179834180602+0.03750973477422434i;0.7052853066749917
1.0,3,6.787516591558545,4.2988853429434945e-17,-0.6109603906473519;0.2212371031210467;0.7091469178661954;-0.2736643823070846
1.0,4,17.47648491552937,8.5815014899640800e-17,0.5580202828294378;0.4201269416758172;0.3842724364421661;0.6036898304757835
1.1,1,2.865457870674267-0.7321697391152474i,5.6139798702047794e-17,-0.4880243847177888+0.275543452692708i;0.05693423451473505-0.4217869389755939i;0.1018726245408962-0.03661913880964459i;0.7021704092959304
1.1,2,2.865457870674268+0.7321697391152471i,7.7769245686303236e-17,-0.488024384717789-0.2755434526927079i;0.05693423451473562+0.4217869389755939i;0.1018726245408963+0.03661913880964467i;0.7021704092959303
1.1,3,6.756056187177517,1.7162913444963433e-16,-0.6117737736466231;0.224828981488001;0.7084762065626817;-0.2706404324852275
1.1,4,17.51302807147395,4.2907176806711932e-16,0.5563472658449009;0.4199625213685899;0.3890941271909609;0.6022582175596645
