index,real,imag,modulus,argument,scaled_residual
1,-9.6814034151828254e-01,-1.2086695542114727e-01,9.7565595462125598e-01,-3.0173908118168766e+00,4.2244970131548019e-15
2,-9.5633901132833377e-01,-2.7377620908702771e-01,9.9475510415906832e-01,-2.8627744252322072e+00,2.3434006293170559e-14
3,-9.1051113493372227e-01,-4.2552815131582084e-01,1.0050396680731339e+00,-2.7044038131006038e+00,3.9690988042528392e-13
4,-8.3686300499083599e-01,-5.6782566908526655e-01,1.0113187823799292e+00,-2.5454308684762954e+00,1.6526718690540041e-14
5,-7.3910056519088241e-01,-6.9590435316525090e-01,1.0151613242336550e+00,-2.3862871899546105e+00,9.1625602777711953e-15
6,-6.2067250547061714e-01,-8.0588930705893203e-01,1.0171980801589722e+00,-2.2270823342932737e+00,7.8265686161675330e-15
7,-4.8528023929988695e-01,-8.9453836983952839e-01,1.0176914098930561e+00,-2.0678572546950349e+00,1.3466054434590792e-14
8,-3.3698432323145983e-01,-9.5922761265309520e-01,1.0166986018382840e+00,-1.9086359166073055e+00,1.0721471622925409e-14
9,-1.8020604323911479e-01,-9.9796223272553064e-01,1.0141019849928428e+00,-1.7494452060851589e+00,1.0285272327265728e-14
10,-1.9728632207725624e-02,-1.0093521568736339e+00,1.0095449447717741e+00,-1.5903396747487286e+00,8.2410729981359003e-15
11,1.3916543497639100e-01,-9.9247673370087730e-01,1.0021861529824339e+00,-1.4314842776824428e+00,1.0265011757024073e-13
12,2.8981213106781584e-01,-9.4642367466877375e-01,9.8980242639004157e-01,-1.2736445921291395e+00,2.8446307946645117e-13
13,4.1715157825560722e-01,-8.7106730951624667e-01,9.6580210030265334e-01,-1.1241731405805868e+00,1.1033425087253268e-13
14,5.0756863946786968e-01,-8.1057343885276123e-01,9.5637608896545256e-01,-1.0113455868329182e+00,2.7017966728668703e-13
15,6.3233982706441783e-01,-7.5340119992377941e-01,9.8359901633666169e-01,-8.7253911321216826e-01,5.0824459125725244e-13
16,7.5371953044305784e-01,-6.5538027600262105e-01,9.9880750735293100e-01,-7.1572242692123789e-01,1.6735750300175655e-12
17,8.5515802764390347e-01,-5.3263353549551906e-01,1.0074689748961343e+00,-5.5705037032100102e-01,2.7722011007626315e-12
18,9.3366404473153175e-01,-3.9254638454915247e-01,1.0128283232843831e+00,-3.9799892762329131e-01,1.6805917229643422e-12
19,9.8718385803179243e-01,-2.4035438367876552e-01,1.0160227356275711e+00,-2.3882792405899070e-01,2.2668789101769582e-14
20,1.0143046673355407e+00,-8.0923029854877856e-02,1.0175276384155643e+00,-7.9613147753377689e-02,2.8383515207007221e-14
21,1.0143046673355405e+00,8.0923029854876885e-02,1.0175276384155640e+00,7.9613147753376759e-02,1.5820113532773473e-14
22,9.8718385803179398e-01,2.4035438367876455e-01,1.0160227356275724e+00,2.3882792405898942e-01,1.6533100025550754e-14
23,9.3366404473161879e-01,3.9254638454911261e-01,1.0128283232844477e+00,3.9799892762322170e-01,1.2506699383784034e-14
24,8.5515802764373716e-01,5.3263353549548342e-01,1.0074689748959742e+00,5.5705037032105831e-01,1.6297000849545068e-13
25,7.5371953044304529e-01,6.5538027600267013e-01,9.9880750735295376e-01,7.1572242692128329e-01,1.2779326356638710e-12
26,6.3233982706437109e-01,7.5340119992381671e-01,9.8359901633666025e-01,8.7253911321222899e-01,3.1512083741349451e-15
27,5.0756863946791353e-01,8.1057343885271949e-01,9.5637608896544046e-01,1.0113455868328560e+00,1.4400716218642959e-15
28,4.1715157825558774e-01,8.7106730951625366e-01,9.6580210030265135e-01,1.1241731405806081e+00,5.7976398865963485e-16
29,2.8981213106793591e-01,9.4642367466882427e-01,9.8980242639012506e-01,1.2736445921290385e+00,1.1661006727654261e-12
30,1.3916543497635564e-01,9.9247673370088807e-01,1.0021861529824396e+00,1.4314842776824792e+00,4.1194691715357597e-13
31,-1.9728632207725014e-02,1.0093521568736343e+00,1.0095449447717746e+00,1.5903396747487279e+00,6.3019616083280157e-15
32,-1.8020604323911482e-01,9.9796223272553131e-01,1.0141019849928434e+00,1.7494452060851589e+00,6.3972419617087668e-15
33,-3.3698432323146088e-01,9.5922761265309486e-01,1.0166986018382840e+00,1.9086359166073066e+00,1.5247183061397764e-14
34,-4.8528023929988712e-01,8.9453836983952884e-01,1.0176914098930565e+00,2.0678572546950349e+00,4.7411004685003947e-15
35,-6.2067250547061792e-01,8.0588930705893103e-01,1.0171980801589720e+00,2.2270823342932751e+00,1.9217051757943389e-14
36,-7.3910056519088263e-01,6.9590435316525090e-01,1.0151613242336552e+00,2.3862871899546105e+00,1.3228608851817880e-14
37,-8.3686300499083355e-01,5.6782566908526488e-01,1.0113187823799263e+00,2.5454308684762954e+00,3.3639952289804321e-14
38,-9.1051113493371694e-01,4.2552815131579558e-01,1.0050396680731184e+00,2.7044038131006243e+00,1.2471845246455008e-14
39,-9.5633901132834997e-01,2.7377620908701333e-01,9.9475510415907997e-01,2.8627744252322254e+00,2.2711512968663938e-13
40,-9.6814034151828421e-01,1.2086695542115850e-01,9.7565595462125909e-01,3.0173908118168655e+00,7.3882846931264285e-14
41,-9.5248387521407907e-01,0.0000000000000000e+00,9.5248387521407907e-01,3.1415926535897931e+00,9.9920072216265083e-15
