n,index,eigenvalue,residual,eigenvector
50,1,2.0037933425259116e+00,1.9428902930940239e-16,1.2190875990387923e-02;-2.4335507812454062e-02;3.6387826717845559e-02;-4.8302114132722271e-02;6.0033175083968146e-02;-7.1536509639202217e-02;8.2768481710267072e-02;-9.3686484579855206e-02;1.0424910252338343e-01;-1.1441626791302160e-01;1.2414941320792962e-01;-1.3341161725414846e-01;1.4216774533918672e-01;-1.5038458247001671e-01;1.5803095936892209e-01;-1.6507787070924229e-01;1.7149858514251395e-01;-1.7726874669963064e-01;1.8236646718137681e-01;-1.8677240918786306e-01;1.9046985947190886e-01;-1.9344479233811634e-01;1.9568592284713102e-01;-1.9718474962328775e-01;1.9793558710323642e-01;-1.9793558710323550e-01;1.9718474962328456e-01;-1.9568592284712644e-01;1.9344479233810982e-01;-1.9046985947190148e-01;1.8677240918785404e-01;-1.8236646718136704e-01;1.7726874669962112e-01;-1.7149858514250454e-01;1.6507787070923313e-01;-1.5803095936891354e-01;1.5038458247000924e-01;-1.4216774533917961e-01;1.3341161725414194e-01;-1.2414941320792389e-01;1.1441626791301722e-01;-1.0424910252337945e-01;9.3686484579852083e-02;-8.2768481710264505e-02;7.1536509639200496e-02;-6.0033175083966425e-02;4.8302114132720723e-02;-3.6387826717844463e-02;2.4335507812453430e-02;-1.2190875990387887e-02
50,2,2.0151589806561288e+00,1.5265566588595902e-16,2.4335507812456095e-02;-4.8302114132725872e-02;7.1536509639206866e-02;-9.3686484579859397e-02;1.1441626791302476e-01;-1.3341161725414999e-01;1.5038458247001663e-01;-1.6507787070923938e-01;1.7726874669962631e-01;-1.8677240918785704e-01;1.9344479233811107e-01;-1.9718474962328225e-01;1.9793558710323111e-01;-1.9568592284712211e-01;1.9046985947189779e-01;-1.8236646718136312e-01;1.7149858514249966e-01;-1.5803095936890788e-01;1.4216774533917403e-01;-1.2414941320791835e-01;1.0424910252337398e-01;-8.2768481710259495e-02;6.0033175083962068e-02;-3.6387826717841333e-02;1.2190875990385952e-02;1.2190875990388829e-02;-3.6387826717843817e-02;6.0033175083965072e-02;-8.2768481710263075e-02;1.0424910252337798e-01;-1.2414941320792312e-01;1.4216774533917972e-01;-1.5803095936891476e-01;1.7149858514250732e-01;-1.8236646718137170e-01;1.9046985947190698e-01;-1.9568592284713243e-01;1.9793558710324091e-01;-1.9718474962329219e-01;1.9344479233812092e-01;-1.8677240918786639e-01;1.7726874669963458e-01;-1.6507787070924643e-01;1.5038458247002195e-01;-1.3341161725415404e-01;1.1441626791302727e-01;-9.3686484579860119e-02;7.1536509639206575e-02;-4.8302114132725303e-02;2.4335507812455543e-02
50,3,2.0340538006321962e+00,5.1810407815840642e-16,3.6387826717820454e-02;-7.1536509639154103e-02;1.0424910252331457e-01;-1.3341161725406300e-01;1.5803095936882575e-01;-1.7726874669953085e-01;1.9046985947181344e-01;-1.9718474962320234e-01;1.9718474962321614e-01;-1.9046985947185258e-01;1.7726874669959314e-01;-1.5803095936890671e-01;1.3341161725415759e-01;-1.0424910252341531e-01;7.1536509639254606e-02;-3.6387826717914164e-02;8.1161758493401501e-14;3.6387826717756110e-02;-7.1536509639109860e-02;1.0424910252329221e-01;-1.3341161725406278e-01;1.5803095936884679e-01;-1.7726874669957116e-01;1.9046985947187087e-01;-1.9718474962327384e-01;1.9718474962329721e-01;-1.9046985947193903e-01;1.7726874669968018e-01;-1.5803095936898928e-01;1.3341161725423059e-01;-1.0424910252347488e-01;7.1536509639296558e-02;-3.6387826717935938e-02;8.1278643957924911e-14;3.6387826717778737e-02;-7.1536509639154283e-02;1.0424910252335567e-01;-1.3341161725414191e-01;1.5803095936893660e-01;-1.7726874669966614e-01;1.9046985947196426e-01;-1.9718474962335955e-01;1.9718474962336949e-01;-1.9046985947199363e-01;1.7726874669971329e-01;-1.5803095936899919e-01;1.3341161725421649e-01;-1.0424910252343901e-01;7.1536509639241783e-02;-3.6387826717865605e-02
50,4,2.0604061279299808e+00,9.4831550020065448e-16,-4.8302114132765098e-02;9.3686484579936807e-02;-1.3341161725426076e-01;1.6507787070937568e-01;-1.8677240918800939e-01;1.9718474962343885e-01;-1.9568592284727240e-01;1.8236646718149702e-01;-1.5803095936901915e-01;1.2414941320800062e-01;-8.2768481710311620e-02;3.6387826717863322e-02;1.2190875990392510e-02;-6.0033175083990226e-02;1.0424910252341806e-01;-1.4216774533922766e-01;1.7149858514255698e-01;-1.9046985947195463e-01;1.9793558710328527e-01;-1.9344479233816084e-01;1.7726874669967110e-01;-1.5038458247005637e-01;1.1441626791306173e-01;-7.1536509639242976e-02;2.4335507812493929e-02;2.4335507812414670e-02;-7.1536509639162915e-02;1.1441626791298115e-01;-1.5038458246997402e-01;1.7726874669958553e-01;-1.9344479233807260e-01;1.9793558710319534e-01;-1.9046985947186496e-01;1.7149858514247127e-01;-1.4216774533915116e-01;1.0424910252335928e-01;-6.0033175083958758e-02;1.2190875990398059e-02;3.6387826717812807e-02;-8.2768481710208078e-02;1.2414941320784141e-01;-1.5803095936880529e-01;1.8236646718123650e-01;-1.9568592284697744e-01;1.9718474962312649e-01;-1.8677240918770019e-01;1.6507787070909280e-01;-1.3341161725402573e-01;9.3686484579768428e-02;-4.8302114132677113e-02
50,5,2.0941159991456866e+00,2.4609943712524305e-15,-6.0033175083891020e-02;1.1441626791287847e-01;-1.5803095936873354e-01;1.8677240918765972e-01;-1.9793558710305356e-01;1.9046985947176381e-01;-1.6507787070915497e-01;1.2414941320791061e-01;-7.1536509639247348e-02;1.2190875990480887e-02;4.8302114132604303e-02;-1.0424910252326396e-01;1.5038458246991679e-01;-1.8236646718131466e-01;1.9718474962327648e-01;-1.9344479233814754e-01;1.7149858514257507e-01;-1.3341161725422482e-01;8.2768481710336642e-02;-2.4335507812494283e-02;-3.6387826717850014e-02;9.3686484579910842e-02;-1.4216774533928678e-01;1.7726874669976178e-01;-1.9568592284727532e-01;1.9568592284725941e-01;-1.7726874669971474e-01;1.4216774533921145e-01;-9.3686484579811158e-02;3.6387826717732809e-02;2.4335507812622510e-02;-8.2768481710468730e-02;1.3341161725435322e-01;-1.7149858514269106e-01;1.9344479233824380e-01;-1.9718474962334701e-01;1.8236646718135541e-01;-1.5038458246992475e-01;1.0424910252323796e-01;-4.8302114132546842e-02;-1.2190875990566678e-02;7.1536509639356496e-02;-1.2414941320803688e-01;1.6507787070929023e-01;-1.9046985947190018e-01;1.9793558710318215e-01;-1.8677240918777371e-01;1.5803095936882575e-01;-1.1441626791294318e-01;6.0033175083924181e-02
50,6,2.1350555411912882e+00,3.0151806977111541e-14,-7.1536509640773682e-02;1.3341161725700182e-01;-1.7726874670324386e-01;1.9718474962700422e-01;-1.9046985947504308e-01;1.5803095937090042e-01;-1.0424910252384718e-01;3.6387826716707143e-02;3.6387826720378470e-02;-1.0424910252684701e-01;1.5803095937268033e-01;-1.9046985947527692e-01;1.9718474962564975e-01;-1.7726874670054826e-01;1.3341161725345840e-01;-7.1536509637030316e-02;-3.2588674748234583e-12;7.1536509642951177e-02;-1.3341161725769921e-01;1.7726874670233270e-01;-1.9718474962465071e-01;1.9046985947167738e-01;-1.5803095936713893e-01;1.0424910252037842e-01;-3.6387826714166002e-02;-3.6387826721526004e-02;1.0424910252639066e-01;-1.5803095937070333e-01;1.9046985947214140e-01;-1.9718474962192911e-01;1.7726874669692405e-01;-1.3341161725059394e-01;7.1536509635450024e-02;3.2645442468341421e-12;-7.1536509641381613e-02;1.3341161725484060e-01;-1.7726874669870882e-01;1.9718474962092483e-01;-1.9046985946853154e-01;1.5803095936514922e-01;-1.0424910251990890e-01;3.6387826715303342e-02;3.6387826718990393e-02;-1.0424910252292018e-01;1.5803095936693298e-01;-1.9046985946876080e-01;1.9718474961955801e-01;-1.7726874669599638e-01;1.3341161725127987e-01;-7.1536509637624354e-02
50,7,2.1830694563609527e+00,3.3121653567983835e-14,8.2768481709007455e-02;-1.5038458246766229e-01;1.9046985946877340e-01;-1.9568592284362693e-01;1.6507787070582741e-01;-1.0424910252051968e-01;2.4335507810531086e-02;6.0033175084679584e-02;-1.3341161725353665e-01;1.8236646717951155e-01;-1.9793558710036582e-01;1.7726874669612319e-01;-1.2414941320426322e-01;4.8302114129397014e-02;3.6387826720367077e-02;-1.1441626791437820e-01;1.7149858514250202e-01;-1.9718474962190274e-01;1.8677240918527865e-01;-1.4216774533575405e-01;7.1536509635389059e-02;1.2190875994058969e-02;-9.3686484582869892e-02;1.5803095937085246e-01;-1.9344479233869219e-01;1.9344479233725140e-01;-1.5803095936673098e-01;9.3686484576641332e-02;-1.2190875986588665e-02;-7.1536509643066210e-02;1.4216774534257856e-01;-1.8677240919031493e-01;1.9718474962446919e-01;-1.7149858514226074e-01;1.1441626791138126e-01;-3.6387826715043814e-02;-4.8302114136304947e-02;1.2414941321180684e-01;-1.7726874670327883e-01;1.9793558710617321e-01;-1.8236646718320471e-01;1.3341161725464096e-01;-6.0033175083070670e-02;-2.4335507814616873e-02;1.0424910252652289e-01;-1.6507787071294244e-01;1.9568592285091271e-01;-1.9046985947527378e-01;1.5038458247252975e-01;-8.2768481711609582e-02
50,8,2.2379756114284302e+00,2.1741867565575981e-15,-9.3686484579777130e-02;1.6507787070910232e-01;-1.9718474962312560e-01;1.8236646718122204e-01;-1.2414941320782132e-01;3.6387826717803065e-02;6.0033175083942056e-02;-1.4216774533910148e-01;1.9046985947179043e-01;-1.9344479233799203e-01;1.5038458246990863e-01;-7.1536509639129484e-02;-2.4335507812487847e-02;1.1441626791301707e-01;-1.7726874669959214e-01;1.9793558710317921e-01;-1.7149858514243527e-01;1.0424910252329828e-01;-1.2190875990301917e-02;-8.2768481710345718e-02;1.5803095936897701e-01;-1.9568592284715466e-01;1.8677240918783811e-01;-1.3341161725407538e-01;4.8302114132608008e-02;4.8302114132860965e-02;-1.3341161725428108e-01;1.8677240918795868e-01;-1.9568592284716815e-01;1.5803095936888148e-01;-8.2768481710158590e-02;-1.2190875990546824e-02;1.0424910252355589e-01;-1.7149858514265798e-01;1.9793558710332612e-01;-1.7726874669963655e-01;1.1441626791295094e-01;-2.4335507812323388e-02;-7.1536509639362464e-02;1.5038458247016712e-01;-1.9344479233822934e-01;1.9046985947196243e-01;-1.4216774533917742e-01;6.0033175083907833e-02;3.6387826717940157e-02;-1.2414941320803552e-01;1.8236646718147412e-01;-1.9718474962336988e-01;1.6507787070929533e-01;-9.3686484579883517e-02
50,9,2.2995657285407716e+00,1.5015766408055242e-14,1.0424910252414596e-01;-1.7726874670087300e-01;1.9718474962455868e-01;-1.5803095936974712e-01;7.1536509639283652e-02;3.6387826718541724e-02;-1.3341161725536413e-01;1.9046985947319806e-01;-1.9046985947279713e-01;1.3341161725430828e-01;-3.6387826717218574e-02;-7.1536509640387894e-02;1.5803095937022701e-01;-1.9718474962423788e-01;1.7726874669986920e-01;-1.0424910252282724e-01;-1.1496924474101927e-12;1.0424910252470417e-01;-1.7726874670063453e-01;1.9718474962361113e-01;-1.5803095936843869e-01;7.1536509638095686e-02;3.6387826719171984e-02;-1.3341161725520564e-01;1.9046985947230932e-01;-1.9046985947150485e-01;1.3341161725308789e-01;-3.6387826716519134e-02;-7.1536509640309442e-02;1.5803095936939923e-01;-1.9718474962296539e-01;1.7726874669861997e-01;-1.0424910252206129e-01;-1.1501496634698144e-12;1.0424910252393885e-01;-1.7726874669938442e-01;1.9718474962233615e-01;-1.5803095936760755e-01;7.1536509638013598e-02;3.6387826718474632e-02;-1.3341161725398448e-01;1.9046985947101247e-01;-1.9046985947060907e-01;1.3341161725292278e-01;-3.6387826717145480e-02;-7.1536509639121573e-02;1.5803095936808656e-01;-1.9718474962201032e-01;1.7726874669837411e-01;-1.0424910252261546e-01
50,10,2.3676061752875577e+00,1.8004116716004621e-14,1.1441626791238814e-01;-1.8677240918676505e-01;1.9046985947066097e-01;-1.2414941320690634e-01;1.2190875989913252e-02;1.0424910252315837e-01;-1.8236646718052105e-01;1.9344479233690109e-01;-1.3341161725293282e-01;2.4335507811590544e-02;9.3686484580117135e-02;-1.7726874669919598e-01;1.9568592284611222e-01;-1.4216774533787280e-01;3.6387826716646206e-02;8.2768481710971370e-02;-1.7149858514249747e-01;1.9718474962256910e-01;-1.5038458246881653e-01;4.8302114131403617e-02;7.1536509640256984e-02;-1.6507787070971469e-01;1.9793558710297654e-01;-1.5803095936797940e-01;6.0033175082629953e-02;6.0033175085285065e-02;-1.5803095936979850e-01;1.9793558710341352e-01;-1.6507787070867219e-01;7.1536509638075590e-02;4.8302114134076403e-02;-1.5038458247120218e-01;1.9718474962395621e-01;-1.7149858514244518e-01;8.2768481709475539e-02;3.6387826719121275e-02;-1.4216774534054422e-01;1.9568592284815578e-01;-1.7726874670002141e-01;9.3686484579522264e-02;2.4335507813404475e-02;-1.3341161725544215e-01;1.9344479233938724e-01;-1.8236646718224736e-01;1.0424910252358882e-01;1.2190875990919912e-02;-1.2414941320903090e-01;1.9046985947323908e-01;-1.8677240918902574e-01;1.1441626791369346e-01
