n,lambda_min,lambda_max,max_residual,orthogonality_error,qr_iterations,max_exact_eigenvalue_error
50,2.0037933425259116e+00,5.9962066574740875e+00,3.9246383920499284e-14,1.7268130483341104e-14,101,3.5527136788005009e-15
51,2.0036488915533641e+00,5.9963511084466354e+00,5.3244445889314797e-14,2.0724820499087539e-14,105,2.6645352591003757e-15
52,2.0035125364713573e+00,5.9964874635286414e+00,3.0447866450344918e-14,2.0507340334530681e-14,108,3.5527136788005009e-15
53,2.0033836834574634e+00,5.9966163165425375e+00,1.9743466121250702e-14,1.8287371528711413e-14,108,3.5527136788005009e-15
54,2.0032617921477294e+00,5.9967382078522702e+00,4.0458377389048415e-14,2.0766940238594958e-14,112,3.5527136788005009e-15
55,2.0031463699643677e+00,5.9968536300356323e+00,2.2158201199810417e-14,1.9526164848127441e-14,114,1.7763568394002505e-15
56,2.0030369671333670e+00,5.9969630328666339e+00,3.7210975042019832e-14,1.9954151012676354e-14,113,3.5527136788005009e-15
57,2.0029331722977517e+00,5.9970668277022465e+00,3.2770082943519206e-14,2.2661015648425254e-14,118,2.6645352591003757e-15
58,2.0028346086464754e+00,5.9971653913535254e+00,5.0024799117901843e-14,2.0633967524060789e-14,119,3.5527136788005009e-15
59,2.0027409304908526e+00,5.9972590695091466e+00,5.0949984971756144e-14,2.3181376577972741e-14,119,3.5527136788005009e-15
60,2.0026518202303398e+00,5.9973481797696602e+00,3.9422169232731598e-14,2.0389242649280459e-14,123,3.5527136788005009e-15
61,2.0025669856578938e+00,5.9974330143421062e+00,5.4576713518864985e-14,2.1117240238851053e-14,125,3.5527136788005009e-15
62,2.0024861575621551e+00,5.9975138424378454e+00,4.5102810375396984e-14,2.2769240681315481e-14,125,2.6645352591003757e-15
63,2.0024090875896552e+00,5.9975909124103461e+00,4.5768944190172078e-14,2.4328771801199399e-14,129,2.6645352591003757e-15
64,2.0023355463353463e+00,5.9976644536646511e+00,4.3918572482463482e-14,2.4093133805677547e-14,131,2.6645352591003757e-15
65,2.0022653216339839e+00,5.9977346783660161e+00,4.1291044657517282e-14,2.3626742817114295e-14,131,3.5527136788005009e-15
66,2.0021982170285768e+00,5.9978017829714219e+00,3.8524738954492932e-14,2.2797520293371678e-14,135,3.5527136788005009e-15
67,2.0021340503952549e+00,5.9978659496047468e+00,5.2134222864689640e-14,2.4298718676327283e-14,137,4.4408920985006262e-15
68,2.0020726527065462e+00,5.9979273472934569e+00,7.5772721430666934e-14,2.4810372923353315e-14,137,3.5527136788005009e-15
69,2.0020138669173706e+00,5.9979861330826285e+00,5.4835765557944192e-14,2.7496193188804423e-14,141,4.4408920985006262e-15
70,2.0019575469600523e+00,5.9980424530399441e+00,5.2282252601306332e-14,2.8579410744943077e-14,142,3.5527136788005009e-15
71,2.0019035568362855e+00,5.9980964431637167e+00,4.1207777930670396e-14,2.8892585674560815e-14,143,3.5527136788005009e-15
72,2.0018517697955405e+00,5.9981482302044586e+00,4.9303154151895491e-14,2.6544673065957990e-14,146,4.4408920985006262e-15
73,2.0018020675906381e+00,5.9981979324093597e+00,5.6094018319186034e-14,2.8612922411926240e-14,148,3.5527136788005009e-15
74,2.0017543398022832e+00,5.9982456601977177e+00,5.1292303737682232e-14,3.0291609662150877e-14,149,2.6645352591003757e-15
75,2.0017084832253977e+00,5.9982915167746045e+00,4.5879966492634594e-14,3.0073313945179880e-14,151,3.5527136788005009e-15
76,2.0016644013108347e+00,5.9983355986891658e+00,6.1034510778767981e-14,2.7219628183270640e-14,153,2.6645352591003757e-15
77,2.0016220036568604e+00,5.9983779963431409e+00,4.2854608750531042e-14,2.9686864477223974e-14,153,5.3290705182007514e-15
78,2.0015812055453965e+00,5.9984187944546044e+00,4.8849813083506888e-14,3.3395503817604148e-14,157,2.6645352591003757e-15
79,2.0015419275185544e+00,5.9984580724814478e+00,6.2857126910860942e-14,3.1185159826653835e-14,159,3.5527136788005009e-15
80,2.0015040949915406e+00,5.9984959050084559e+00,4.9090361405509007e-14,2.7935632121973647e-14,159,4.4408920985006262e-15
81,2.0014676378983802e+00,5.9985323621016207e+00,4.2826853174915414e-14,3.2492391345523867e-14,163,3.5527136788005009e-15
82,2.0014324903673373e+00,5.9985675096326618e+00,2.8745524479253014e-14,2.8579520309341733e-14,165,3.5527136788005009e-15
83,2.0013985904232046e+00,5.9986014095767937e+00,4.5084306658319896e-14,2.9608314706198298e-14,165,3.5527136788005009e-15
84,2.0013658797139526e+00,5.9986341202860434e+00,3.9857006584043120e-14,2.9432311358962377e-14,169,4.4408920985006262e-15
85,2.0013343032595206e+00,5.9986656967404786e+00,2.6543582147079785e-14,2.9737525575237573e-14,171,3.5527136788005009e-15
86,2.0013038092206457e+00,5.9986961907793530e+00,4.0393614379278610e-14,3.2266141259873399e-14,171,3.5527136788005009e-15
87,2.0012743486860174e+00,5.9987256513139826e+00,4.0791444296435962e-14,3.3568766782859792e-14,174,4.4408920985006262e-15
88,2.0012458754760427e+00,5.9987541245239573e+00,2.8768654125599369e-14,3.3304806756331399e-14,176,4.4408920985006262e-15
89,2.0012183459618087e+00,5.9987816540381953e+00,4.3030150352780268e-14,3.1701528453127632e-14,176,5.3290705182007514e-15
90,2.0011917188978594e+00,5.9988082811021437e+00,2.2657801560891737e-14,3.1447148299762048e-14,181,4.4408920985006262e-15
91,2.0011659552676524e+00,5.9988340447323489e+00,2.4882873539411321e-14,3.3252473441044004e-14,183,2.6645352591003757e-15
92,2.0011410181405629e+00,5.9988589818594367e+00,2.4036328483134639e-14,3.2962255710856032e-14,183,2.6645352591003757e-15
93,2.0011168725394914e+00,5.9988831274605099e+00,2.3648906906833151e-14,3.4371182222801776e-14,187,3.5527136788005009e-15
94,2.0010934853181483e+00,5.9989065146818525e+00,2.3629246707438749e-14,3.2886980537740826e-14,188,3.5527136788005009e-15
95,2.0010708250472691e+00,5.9989291749527300e+00,2.1732615707037439e-14,3.8229566860159707e-14,189,4.4408920985006262e-15
96,2.0010488619089704e+00,5.9989511380910310e+00,2.9004576518332215e-14,3.4940023767213833e-14,192,3.5527136788005009e-15
97,2.0010275675986242e+00,5.9989724324013745e+00,2.4027076624596095e-14,3.6457294523132325e-14,194,3.1086244689504383e-15
