n,index,eigenvalue,residual,exact_eigenvalue,eigenvector
50,1,2.0037933425259111e+00,4.7702582624727561e-14,2.0037933425259116e+00,-1.2190875990356852e-02;2.4335507812243147e-02;-3.6387826717590339e-02;4.8302114132391598e-02;-6.0033175083624497e-02;7.1536509638874826e-02;-8.2768481710229685e-02;9.3686484580018964e-02;-1.0424910252367331e-01;1.1441626791338259e-01;-1.2414941320834386e-01;1.3341161725449216e-01;-1.4216774533925641e-01;1.5038458246990064e-01;-1.5803095936872300e-01;1.6507787070900798e-01;-1.7149858514227145e-01;1.7726874669947734e-01;-1.8236646718130453e-01;1.8677240918781857e-01;-1.9046985947175885e-01;1.9344479233790346e-01;-1.9568592284702607e-01;1.9718474962348220e-01;-1.9793558710350734e-01;1.9793558710352824e-01;-1.9718474962367058e-01;1.9568592284758074e-01;-1.9344479233834480e-01;1.9046985947173498e-01;-1.8677240918749374e-01;1.8236646718083860e-01;-1.7726874669915768e-01;1.7149858514216393e-01;-1.6507787070913607e-01;1.5803095936896333e-01;-1.5038458247028635e-01;1.4216774533956528e-01;-1.3341161725439077e-01;1.2414941320808387e-01;-1.1441626791316538e-01;1.0424910252360774e-01;-9.3686484579907817e-02;8.2768481710185193e-02;-7.1536509639085574e-02;6.0033175083853134e-02;-4.8302114132466781e-02;3.6387826717501189e-02;-2.4335507812137801e-02;1.2190875990168272e-02
50,2,2.0151589806561283e+00,1.0471253493922934e-13,2.0151589806561283e+00,2.4335507812647976e-02;-4.8302114132996989e-02;7.1536509639384793e-02;-9.3686484579989723e-02;1.1441626791293998e-01;-1.3341161725370476e-01;1.5038458246965047e-01;-1.6507787070913441e-01;1.7726874669967901e-01;-1.8677240918814894e-01;1.9344479233819251e-01;-1.9718474962285240e-01;1.9793558710292430e-01;-1.9568592284709885e-01;1.9046985947183928e-01;-1.8236646718150840e-01;1.7149858514280561e-01;-1.5803095936906311e-01;1.4216774533941284e-01;-1.2414941320807693e-01;1.0424910252301473e-01;-8.2768481709861744e-02;6.0033175083896655e-02;-3.6387826717879539e-02;1.2190875990696319e-02;1.2190875989880331e-02;-3.6387826717656301e-02;6.0033175084027397e-02;-8.2768481710376970e-02;1.0424910252352755e-01;-1.2414941320785094e-01;1.4216774533891974e-01;-1.5803095936876330e-01;1.7149858514250305e-01;-1.8236646718145177e-01;1.9046985947199713e-01;-1.9568592284735276e-01;1.9793558710366624e-01;-1.9718474962349317e-01;1.9344479233792972e-01;-1.8677240918751808e-01;1.7726874669923287e-01;-1.6507787070919969e-01;1.5038458247047826e-01;-1.3341161725448938e-01;1.1441626791316277e-01;-9.3686484580054713e-02;7.1536509639135340e-02;-4.8302114132504216e-02;2.4335507812484940e-02
50,3,2.0340538006321967e+00,5.8013778965933697e-14,2.0340538006321962e+00,-3.6387826718259596e-02;7.1536509639832713e-02;-1.0424910252417625e-01;1.3341161725472803e-01;-1.5803095936924336e-01;1.7726874669955012e-01;-1.9046985947145023e-01;1.9718474962268734e-01;-1.9718474962261923e-01;1.9046985947151168e-01;-1.7726874669955886e-01;1.5803095936923889e-01;-1.3341161725483222e-01;1.0424910252413973e-01;-7.1536509639956544e-02;3.6387826718274147e-02;-5.9261494740425338e-14;-3.6387826718147671e-02;7.1536509639841359e-02;-1.0424910252401789e-01;1.3341161725472314e-01;-1.5803095936913175e-01;1.7726874669946471e-01;-1.9046985947142919e-01;1.9718474962254312e-01;-1.9718474962263063e-01;1.9046985947139947e-01;-1.7726874669952103e-01;1.5803095936921957e-01;-1.3341161725473000e-01;1.0424910252418620e-01;-7.1536509639869184e-02;3.6387826718301250e-02;-6.3255338128352409e-14;-3.6387826718186786e-02;7.1536509639747545e-02;-1.0424910252407808e-01;1.3341161725462330e-01;-1.5803095936912284e-01;1.7726874669942944e-01;-1.9046985947131792e-01;1.9718474962256211e-01;-1.9718474962248289e-01;1.9046985947138939e-01;-1.7726874669943093e-01;1.5803095936912545e-01;-1.3341161725471928e-01;1.0424910252403857e-01;-7.1536509639868462e-02;3.6387826718197028e-02
50,4,2.0604061279299817e+00,1.1740608485411030e-14,2.0604061279299808e+00,-4.8302114132670715e-02;9.3686484579794421e-02;-1.3341161725409623e-01;1.6507787070916041e-01;-1.8677240918774313e-01;1.9718474962317564e-01;-1.9568592284708256e-01;1.8236646718138091e-01;-1.5803095936895228e-01;1.2414941320799215e-01;-8.2768481710395136e-02;3.6387826718018865e-02;1.2190875990248524e-02;-6.0033175083907049e-02;1.0424910252338772e-01;-1.4216774533922830e-01;1.7149858514261673e-01;-1.9046985947208364e-01;1.9793558710343387e-01;-1.9344479233824760e-01;1.7726874669967105e-01;-1.5038458246999736e-01;1.1441626791295356e-01;-7.1536509639068963e-02;2.4335507812259575e-02;2.4335507812636405e-02;-7.1536509639310616e-02;1.1441626791304953e-01;-1.5038458247000042e-01;1.7726874669956755e-01;-1.9344479233798739e-01;1.9793558710306489e-01;-1.9046985947175799e-01;1.7149858514243202e-01;-1.4216774533915030e-01;1.0424910252337172e-01;-6.0033175084000044e-02;1.2190875990495099e-02;3.6387826717703950e-02;-8.2768481710154149e-02;1.2414941320785979e-01;-1.5803095936886363e-01;1.8236646718132904e-01;-1.9568592284714739e-01;1.9718474962337887e-01;-1.8677240918798010e-01;1.6507787070933405e-01;-1.3341161725422973e-01;9.3686484579945481e-02;-4.8302114132794970e-02
50,5,2.0941159991456866e+00,6.8704301507220108e-14,2.0941159991456870e+00,6.0033175084042725e-02;-1.1441626791296648e-01;1.5803095936887318e-01;-1.8677240918792626e-01;1.9793558710326858e-01;-1.9046985947193967e-01;1.6507787070914492e-01;-1.2414941320783350e-01;7.1536509639314072e-02;-1.2190875990523951e-02;-4.8302114132852167e-02;1.0424910252348366e-01;-1.5038458247000383e-01;1.8236646718124763e-01;-1.9718474962319268e-01;1.9344479233824505e-01;-1.7149858514269622e-01;1.3341161725401901e-01;-8.2768481710087299e-02;2.4335507812465584e-02;3.6387826717727167e-02;-9.3686484579738091e-02;1.4216774533926979e-01;-1.7726874669981360e-01;1.9568592284706243e-01;-1.9568592284692962e-01;1.7726874669963683e-01;-1.4216774533927240e-01;9.3686484579955043e-02;-3.6387826717844768e-02;-2.4335507812574229e-02;8.2768481710296438e-02;-1.3341161725405667e-01;1.7149858514253002e-01;-1.9344479233808673e-01;1.9718474962323315e-01;-1.8236646718143953e-01;1.5038458247006636e-01;-1.0424910252334500e-01;4.8302114132675517e-02;1.2190875990450446e-02;-7.1536509639105864e-02;1.2414941320773901e-01;-1.6507787070933097e-01;1.9046985947213088e-01;-1.9793558710325149e-01;1.8677240918771487e-01;-1.5803095936877334e-01;1.1441626791307501e-01;-6.0033175084212936e-02
50,6,2.1350555411912886e+00,6.8528516194987787e-14,2.1350555411912886e+00,-7.1536509638635240e-02;1.3341161725300851e-01;-1.7726874669816389e-01;1.9718474962200164e-01;-1.9046985947135150e-01;1.5803095936935449e-01;-1.0424910252451865e-01;3.6387826719186105e-02;3.6387826716718440e-02;-1.0424910252266188e-01;1.5803095936865311e-01;-1.9046985947222669e-01;1.9718474962428309e-01;-1.7726874670105053e-01;1.3341161725550796e-01;-7.1536509639906570e-02;-1.6764620861379545e-13;7.1536509640033580e-02;-1.3341161725526759e-01;1.7726874670075643e-01;-1.9718474962425087e-01;1.9046985947254663e-01;-1.5803095936889996e-01;1.0424910252254768e-01;-3.6387826716399611e-02;-3.6387826719332814e-02;1.0424910252430843e-01;-1.5803095936901942e-01;1.9046985947134226e-01;-1.9718474962228025e-01;1.7726874669842935e-01;-1.3341161725292808e-01;7.1536509638296594e-02;1.5942024142793123e-13;-7.1536509638425172e-02;1.3341161725269698e-01;-1.7726874669809981e-01;1.9718474962229299e-01;-1.9046985947162753e-01;1.5803095936927403e-01;-1.0424910252420380e-01;3.6387826718996527e-02;3.6387826716544891e-02;-1.0424910252232143e-01;1.5803095936859632e-01;-1.9046985947249875e-01;1.9718474962455859e-01;-1.7726874670101797e-01;1.3341161725516870e-01;-7.1536509639715945e-02
50,7,2.1830694563609563e+00,5.5094817597023393e-14,2.1830694563609527e+00,8.2768481709948799e-02;-1.5038458246954697e-01;1.9046985947163500e-01;-1.9568592284730696e-01;1.6507787070973381e-01;-1.0424910252397696e-01;2.4335507812833432e-02;6.0033175083828515e-02;-1.3341161725409692e-01;1.8236646718116081e-01;-1.9793558710277429e-01;1.7726874669907583e-01;-1.2414941320750054e-01;4.8302114132511918e-02;3.6387826717804633e-02;-1.1441626791279406e-01;1.7149858514238475e-01;-1.9718474962336641e-01;1.8677240918812621e-01;-1.4216774533954601e-01;7.1536509639531440e-02;1.2190875990089087e-02;-9.3686484579520529e-02;1.5803095936848036e-01;-1.9344479233768522e-01;1.9344479233783191e-01;-1.5803095936881442e-01;9.3686484579739535e-02;-1.2190875990194904e-02;-7.1536509639582871e-02;1.4216774533978285e-01;-1.8677240918848018e-01;1.9718474962378341e-01;-1.7149858514280475e-01;1.1441626791321560e-01;-3.6387826718111645e-02;-4.8302114132180857e-02;1.2414941320723993e-01;-1.7726874669908271e-01;1.9793558710319259e-01;-1.8236646718178173e-01;1.3341161725471756e-01;-6.0033175084376098e-02;-2.4335507812508945e-02;1.0424910252386092e-01;-1.6507787070980806e-01;1.9568592284742628e-01;-1.9046985947178108e-01;1.5038458246954062e-01;-8.2768481709862465e-02
50,8,2.2379756114284302e+00,9.4618757273678966e-14,2.2379756114284310e+00,-9.3686484579507789e-02;1.6507787070853877e-01;-1.9718474962259230e-01;1.8236646718082389e-01;-1.2414941320787670e-01;3.6387826718001573e-02;6.0033175083639950e-02;-1.4216774533859899e-01;1.9046985947110504e-01;-1.9344479233775091e-01;1.5038458247022884e-01;-7.1536509639836890e-02;-2.4335507811624302e-02;1.1441626791223711e-01;-1.7726874669871140e-01;1.9793558710286951e-01;-1.7149858514252855e-01;1.0424910252392283e-01;-1.2190875991128549e-02;-8.2768481709370803e-02;1.5803095936815523e-01;-1.9568592284687555e-01;1.8677240918821433e-01;-1.3341161725498238e-01;4.8302114133503139e-02;4.8302114131866983e-02;-1.3341161725348807e-01;1.8677240918739435e-01;-1.9568592284753727e-01;1.5803095936982026e-01;-8.2768481711211872e-02;-1.2190875989451802e-02;1.0424910252276981e-01;-1.7149858514220617e-01;1.9793558710356823e-01;-1.7726874670023271e-01;1.1441626791371078e-01;-2.4335507813023564e-02;-7.1536509638719478e-02;1.5038458246997907e-01;-1.9344479233868583e-01;1.9046985947280262e-01;-1.4216774534002846e-01;6.0033175084367424e-02;3.6387826717510161e-02;-1.2414941320795787e-01;1.8236646718169730e-01;-1.9718474962401322e-01;1.6507787070988370e-01;-9.3686484580129417e-02
50,9,2.2995657285407711e+00,7.6688655425982688e-14,2.2995657285407716e+00,1.0424910252406261e-01;-1.7726874670085124e-01;1.9718474962483915e-01;-1.5803095937045300e-01;7.1536509640386645e-02;3.6387826717209103e-02;-1.3341161725425854e-01;1.9046985947288278e-01;-1.9046985947368844e-01;1.3341161725654527e-01;-3.6387826720440615e-02;-7.1536509636923082e-02;1.5803095936725056e-01;-1.9718474962231700e-01;1.7726874669932205e-01;-1.0424910252365194e-01;7.2038792251890743e-13;1.0424910252236995e-01;-1.7726874669847120e-01;1.9718474962211704e-01;-1.5803095936775455e-01;7.1536509638003787e-02;3.6387826719010981e-02;-1.3341161725515216e-01;1.9046985947268952e-01;-1.9046985947246342e-01;1.3341161725453429e-01;-3.6387826718084985e-02;-7.1536509639183760e-02;1.5803095936915024e-01;-1.9718474962375260e-01;1.7726874670028545e-01;-1.0424910252411784e-01;7.1596216494475870e-13;1.0424910252279999e-01;-1.7726874669941839e-01;1.9718474962355712e-01;-1.5803095936961761e-01;7.1536509640263646e-02;3.6387826716660056e-02;-1.3341161725317263e-01;1.9046985947145822e-01;-1.9046985947228667e-01;1.3341161725545267e-01;-3.6387826719877989e-02;-7.1536509636776782e-02;1.5803095936643843e-01;-1.9718474962103580e-01;1.7726874669788120e-01;-1.0424910252241952e-01
50,10,2.3676061752875550e+00,7.6325519978344872e-14,2.3676061752875568e+00,1.1441626791290876e-01;-1.8677240918747820e-01;1.9046985947165904e-01;-1.2414941320788477e-01;1.2190875990642789e-02;1.0424910252319400e-01;-1.8236646718104041e-01;1.9344479233791639e-01;-1.3341161725425421e-01;2.4335507812747237e-02;9.3686484579628512e-02;-1.7726874669959666e-01;1.9568592284712380e-01;-1.4216774533952536e-01;3.6387826718296497e-02;8.2768481709987907e-02;-1.7149858514247521e-01;1.9718474962339158e-01;-1.5038458247012906e-01;4.8302114133016237e-02;7.1536509639295601e-02;-1.6507787070951147e-01;1.9793558710367559e-01;-1.5803095936917105e-01;6.0033175084237785e-02;6.0033175083966890e-02;-1.5803095936919365e-01;1.9793558710345102e-01;-1.6507787070928956e-01;7.1536509639055057e-02;4.8302114132925691e-02;-1.5038458247044731e-01;1.9718474962360483e-01;-1.7149858514247601e-01;8.2768481710132721e-02;3.6387826718052317e-02;-1.4216774533932744e-01;1.9568592284727396e-01;-1.7726874669929846e-01;9.3686484579493801e-02;2.4335507812770447e-02;-1.3341161725426121e-01;1.9344479233813416e-01;-1.8236646718116756e-01;1.0424910252301378e-01;1.2190875990432518e-02;-1.2414941320782218e-01;1.9046985947164283e-01;-1.8677240918759386e-01;1.1441626791270651e-01
