n,lambda_min,lambda_max,rotations,sweeps,off_diagonal_norm,max_residual,orthogonality_error,max_exact_eigenvalue_error,max_exact_vector_angle_error
50,2.0037933425259111e+00,5.9962066574740849e+00,4456,3.63755102,9.8352069283001662e-12,1.3193150275962276e-13,1.5544092532156376e-14,6.2172489379008766e-15,0.0000000000000000e+00
51,2.0036488915533641e+00,5.9963511084466363e+00,4585,3.59607843,9.9554083366667494e-12,1.3083284455817079e-13,1.7563183170800015e-14,5.3290705182007514e-15,0.0000000000000000e+00
52,2.0035125364713577e+00,5.9964874635286423e+00,4795,3.61613876,9.9286920387485917e-12,1.4427348205003909e-13,1.8147122271079290e-14,7.1054273576010019e-15,2.2204460492503131e-16
53,2.0033836834574634e+00,5.9966163165425366e+00,4955,3.59579100,1.0116188168729684e-11,1.2288318510892773e-13,1.7975088916652601e-14,7.1054273576010019e-15,0.0000000000000000e+00
54,2.0032617921477311e+00,5.9967382078522693e+00,5142,3.59329140,1.0247509046557639e-11,1.8701706849810762e-13,1.7700021180796881e-14,4.4408920985006262e-15,0.0000000000000000e+00
55,2.0031463699643672e+00,5.9968536300356297e+00,5354,3.60538721,1.0363287450083879e-11,1.2693549914880956e-13,1.9243659673488413e-14,6.2172489379008766e-15,0.0000000000000000e+00
56,2.0030369671333674e+00,5.9969630328666312e+00,5542,3.59870130,1.0433792225088724e-11,1.3918495985384047e-13,1.8247121248024503e-14,7.1054273576010019e-15,0.0000000000000000e+00
57,2.0029331722977530e+00,5.9970668277022492e+00,5816,3.64411028,1.0524722492450657e-11,1.3838004816098723e-13,1.9845971908502259e-14,6.2172489379008766e-15,0.0000000000000000e+00
58,2.0028346086464768e+00,5.9971653913535219e+00,5982,3.61887477,1.0637447759245978e-11,1.1735057370287905e-13,1.8532272566765876e-14,4.4408920985006262e-15,0.0000000000000000e+00
59,2.0027409304908539e+00,5.9972590695091421e+00,6104,3.56750438,1.0730629295796218e-11,1.1847930044458130e-13,1.9666477862033125e-14,6.2172489379008766e-15,0.0000000000000000e+00
60,2.0026518202303403e+00,5.9973481797696611e+00,6345,3.58474576,1.0790420296265282e-11,1.1644389156610183e-13,1.9861139729643541e-14,6.2172489379008766e-15,0.0000000000000000e+00
61,2.0025669856578943e+00,5.9974330143421106e+00,6584,3.59781421,1.0880077598680721e-11,1.0358380819752711e-13,1.8606131061128874e-14,6.2172489379008766e-15,0.0000000000000000e+00
62,2.0024861575621546e+00,5.9975138424378507e+00,6814,3.60338445,1.1041231030416508e-11,1.2199731965386226e-13,2.1021943472397020e-14,8.8817841970012523e-15,0.0000000000000000e+00
